"used","x, 2theta (deg)","obs","calc","bkg","diff","diff/sigma","Axis-limits"
0,12.9,35286.7,0.0,0.0,-2622.26,187.84754456739648," "
0,12.91,35960.0,0.0,0.0,-2622.26,189.63122105813696," "
0,12.92,35296.7,0.0,0.0,-2622.26,187.87416001142893," "
0,12.93,35260.0,0.0,0.0,-2622.26,187.77646284878196," "
0,12.94,35833.3,0.0,0.0,-2622.26,189.296856814898," "
0,12.95,35700.0,0.0,0.0,-2622.26,188.94443627691183," "
0,12.96,35743.3,0.0,0.0,-2622.26,189.0589855045245," "
0,12.97,35766.7,0.0,0.0,-2622.26,189.12086082714407," "
0,12.98,36176.7,0.0,0.0,-2622.26,190.20173500785947," "
0,12.99,35520.0,0.0,0.0,-2622.26,188.46750383023596," "
0,13.0,36113.3,0.0,0.0,-2622.26,190.0349967769095," "
0,13.01,35770.0,0.0,0.0,-2622.26,189.12958520548813," "
0,13.02,36346.7,0.0,0.0,-2622.26,190.64810515711926," "
0,13.03,35953.3,0.0,0.0,-2622.26,189.6135543678247," "
0,13.04,35700.0,0.0,0.0,-2622.26,188.94443627691183," "
0,13.05,35603.3,0.0,0.0,-2622.26,188.68836742099393," "
0,13.06,36366.7,0.0,0.0,-2622.26,190.70055060224652," "
0,13.07,35986.7,0.0,0.0,-2622.26,189.7016077949789," "
0,13.08,36180.0,0.0,0.0,-2622.26,190.21040980976832," "
0,13.09,36593.3,0.0,0.0,-2622.26,191.2937531651256," "
0,13.1,36073.3,0.0,0.0,-2622.26,189.9297238454266," "
0,13.11,36593.3,0.0,0.0,-2622.26,191.2937531651256," "
0,13.12,36816.7,0.0,0.0,-2622.26,191.87678337933434," "
0,13.13,36246.7,0.0,0.0,-2622.26,190.38566122478866," "
0,13.14,36906.7,0.0,0.0,-2622.26,192.1111657348422," "
0,13.15,36356.7,0.0,0.0,-2622.26,190.67432968283904," "
0,13.16,36913.3,0.0,0.0,-2622.26,192.12834252134695," "
0,13.17,36796.7,0.0,0.0,-2622.26,191.824659520094," "
0,13.18,36936.7,0.0,0.0,-2622.26,192.1892296670133," "
0,13.19,36816.7,0.0,0.0,-2622.26,191.87678337933434," "
0,13.2,36846.7,0.0,0.0,-2622.26,191.95494262977445," "
0,13.21,36926.7,0.0,0.0,-2622.26,192.1632118799017," "
0,13.22,37156.7,0.0,0.0,-2622.26,192.7607325157279," "
