"used","x, 2theta (deg)","obs","calc","bkg","diff","Gd1.5Mn0.25Zr2.25O7","tick-pos","diff/sigma","Axis-limits"
1,60.73,15083.3,15024.02466339673,15013.209457121051,-2562.984663396732," "," ",0.4826428138960995," "
1,60.74,15353.3,15024.09636279788,15013.147810267454,-2293.056362797881," "," ",2.6568299408676053," "
1,60.75,14940.0,15024.172855681936,15013.086462111527,-2706.4328556819364," "," ",-0.6886471630942474," "
1,60.76,15326.7,15024.254328737876,15013.025410852,-2319.8143287378753," "," ",2.4429976246216842," "
1,60.77,15413.3,15024.340982194028,15012.96465468401,-2233.3009821940286," "," ",3.132968505335883," "
1,60.78,15646.7,15024.43302622537,15012.904191799156,-1999.9930262253692," "," ",4.974682569163374," "
1,60.79,15360.0,15024.530680346475,15012.844020385492,-2286.7906803464757," "," ",2.706806433711735," "
1,60.8,15336.7,15024.634180754587,15012.784138627536,-2310.1941807545863," "," ",2.519882215930435," "
1,60.81,15750.0,15024.74377324328,15012.724544706309,-1897.003773243281," "," ",5.778979942116954," "
1,60.82,15066.7,15024.859722613292,15012.66523679933,-2580.419722613291," "," ",0.3408674130533144," "
1,60.83,14823.3,15024.982303115377,15012.606213080631,-2823.9423031153783," "," ",-1.656514886444178," "
1,60.84,15093.3,15025.111811594932,15012.547471720785,-2554.071811594933," "," ",0.5550307571103937," "
1,60.85,15266.7,15025.248558282408,15012.489010886919,-2380.808558282408," "," ",1.9541469411339927," "
1,60.86,15040.0,15025.39287438258,15012.430828742708,-2607.65287438258," "," ",0.11910797633576471," "
1,60.87,14920.0,15025.54511136028,15012.372923448422,-2727.8051113602796," "," ",-0.8640795181443238," "
1,60.88,15080.0,15025.705642375537,15012.31529316092,-2567.965642375537," "," ",0.44213411718218165," "
1,60.89,15196.7,15025.874864709744,15012.25793603366,-2451.434864709743," "," ",1.3857252428691262," "
1,60.9,15473.3,15026.053200163275,15012.200850216752,-2175.0132001632755," "," ",3.59547082315932," "
1,60.91,15440.0,15026.241097545868,15012.144033856923,-2208.501097545868," "," ",3.3298425852418543," "
1,60.92,15256.7,15026.439036542628,15012.087485097569,-2391.9990365426274," "," ",1.864189314249342," "
1,60.93,15463.3,15026.647529055395,15012.031202078753,-2185.6075290553963," "," ",3.5114365982464637," "
1,60.94,15226.7,15026.867118188411,15011.97518293722,-2422.4271181884105," "," ",1.619436993404694," "
1,60.95,15153.3,15027.098388494745,15011.919425806442,-2496.0583884947464," "," ",1.025206355719501," "
1,60.96,15113.3,15027.341962798026,15011.863928816578,-2536.3019627980266," "," ",0.6992087242417941," "
1,60.97,15226.7,15027.598505437394,15011.80869009455,-2423.1585054373936," "," ",1.6135098629106024," "
1,60.98,15190.0,15027.868732915986,15011.75370776401,-2460.128732915986," "," ",1.3154910263119648," "
1,60.99,14963.3,15028.153410765959,15011.69897994539,-2687.11341076596," "," ",-0.5301748592981285," "
1,61.0,15136.7,15028.453359179277,15011.644504755901,-2514.0133591792764," "," ",0.8798301213480708," "
1,61.01,15330.0,15028.76946183349,15011.590280309556,-2321.02946183349," "," ",2.4329205136970113," "
1,61.02,15426.7,15029.102667868274,15011.536304717172,-2224.6626678682733," "," ",3.201156779674146," "
1,61.03,15550.0,15029.453998256035,15011.482576086406,-2101.7139982560348," "," ",4.174398621852497," "
1,61.04,15213.3,15029.824556398635,15011.429092521765,-2438.7845563986357," "," ",1.4875317073577363," "
1,61.05,15536.7,15030.21552677529,15011.375852124609,-2115.775526775289," "," ",4.063373521033663," "
1,61.06,15543.3,15030.628197338627,15011.322852993193,-2109.5881973386277," "," ",4.112139288524297," "
1,61.07,15393.3,15031.063953037452,15011.270093222645,-2260.023953037453," "," ",2.9196164308621233," "
1,61.08,15053.3,15031.52429542173,15011.217570905028,-2600.484295421731," "," ",0.17748283513705432," "
1,61.09,15496.7,15032.010858914171,15011.16528412932,-2157.5708589141705," "," ",3.7328703917389414," "
1,61.1,15050.0,15032.525407007506,15011.113230981457,-2604.7854070075064," "," ",0.14244224807536962," "
1,61.11,15113.3,15033.069866773796,15011.06140954432,-2542.029866773797," "," ",0.652616217457728," "
1,61.12,15173.3,15033.646329603118,15011.009817897777,-2482.606329603119," "," ",1.1337370308581316," "
1,61.13,15470.0,15034.257073890503,15010.958454118701,-2186.5170738905035," "," ",3.503363400597052," "
1,61.14,15036.7,15034.904597773886,15010.907316280955,-2620.4645977738855," "," ",0.014641497300872086," "
1,61.15,15196.7,15035.59162043428,15010.856402455449,-2461.151620434279," "," ",1.3069033899643792," "
1,61.16,15296.7,15036.321127411336,15010.805710710136,-2361.881127411336," "," ",2.1052654709949823," "
1,61.17,15363.3,15037.096389825425,15010.75523911002,-2296.056389825426," "," ",2.6317613682731524," "
1,61.18,15180.0,15037.9210078659,15010.704985717197,-2480.1810078659," "," ",1.1531717161691246," "
1,61.19,15453.3,15038.798939141045,15010.654948590847,-2207.7589391410456," "," ",3.334379509940784," "
1,61.2,15480.0,15039.734550239806,15010.605125787277,-2181.994550239806," "," ",3.538580883274698," "
1,61.21,15303.3,15040.732669548484,15010.555515359914,-2359.6926695484854," "," ",2.1225021685544676," "
1,61.22,15366.7,15041.798634862073,15010.506115359334,-2297.358634862072," "," ",2.6209650499485524," "
1,61.23,14920.0,15042.93838496418,15010.456923833282,-2745.19838496418," "," ",-1.0064752319856642," "
1,61.24,15223.3,15044.158494651858,15010.407938826678,-2443.118494651859," "," ",1.4519170871550449," "
1,61.25,15453.3,15045.466322858741,15010.359158381645,-2214.4263228587424," "," ",3.2807449363473378," "
1,61.26,15520.0,15046.870063126427,15010.310580537523,-2149.1300631264276," "," ",3.7978216861332967," "
1,61.27,15180.0,15048.378899345582,15010.262203330885,-2490.638899345582," "," ",1.0682911544196934," "
1,61.28,15546.7,15050.00314508805,15010.214024795558,-2125.56314508805," "," ",3.9835686047055745," "
1,61.29,15200.0,15051.754394138141,15010.166042962626,-2474.014394138141," "," ",1.2024306429650842," "
1,61.3,15540.0,15053.64574751101,15010.118255860476,-2135.9057475110094," "," ",3.9014604640464703," "
1,61.31,15650.0,15055.692032583687,15010.070661514786,-2027.9520325836875," "," ",4.750664726547022," "
