used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,20.78,20153.3,20357.06094297024,20357.06094297024,-2247.960943, , ,176.5502761255275, 
1,20.79,20406.7,20354.01694451324,20354.01694451324,-1991.516945, , ,177.22866585290313, 
1,20.8,20403.3,20350.972919855754,20350.972919855754,-1991.87292, , ,176.21946544011533, 
1,20.81,20446.7,20347.928871257198,20347.928871257198,-1945.428871, , ,175.73645040229985, 
1,20.82,20416.7,20344.88480097468,20344.88480097468,-1972.384801, , ,175.97357756208743, 
1,20.83,20706.7,20341.84071126303,20341.84071126303,-1679.340711, , ,175.52777557982097, 
1,20.84,20493.3,20338.79660437477,20338.79660437477,-1889.696604, , ,175.87865134802462, 
1,20.85,19910,20335.752482560147,20335.752482560147,-2469.952483, , ,175.9354995445774, 
1,20.86,20326.7,20332.70834806711,20332.70834806711,-2050.208348, , ,175.58473737771172, 
1,20.87,20340,20329.664203141307,20329.664203141307,-2033.864203, , ,176.4559435099878, 
1,20.88,20383.3,20326.620050026122,20326.620050026122,-1987.52005, , ,176.32356620712955, 
1,20.89,20290,20323.57589096263,20323.57589096263,-2077.775891, , ,176.5879384329519, 
1,20.9,20550,20320.53172818963,20320.53172818963,-1814.731728, , ,177.4260409, 
1,20.91,20253.3,20317.487563943625,20317.487563943625,-2108.387564, , ,176.22911223745072, 
1,20.92,20246.7,20314.44340045885,20314.44340045885,-2111.9434, , ,177.7450421249493, 
1,20.93,20033.3,20311.399239967242,20311.399239967242,-2322.29924, , ,178.0542052297558, 
1,20.94,20383.3,20308.355084698458,20308.355084698458,-1969.255085, , ,177.39785793520733, 
1,20.95,20180,20305.31093687987,20305.31093687987,-2169.510937, , ,176.43695757975425, 
1,20.96,20470,20302.266798736564,20302.266798736564,-1876.466799, , ,178.4469108726738, 
1,20.97,20260,20299.222672491363,20299.222672491363,-2083.422672, , ,176.3519209, 
1,20.98,19913.3,20296.178560364795,20296.178560364795,-2427.07856, , ,177.44492103185144, 
1,20.99,20013.3,20293.13446457511,20293.13446457511,-2324.034465, , ,178.1010948871455, 
1,21,20110,20290.090387338285,20290.090387338285,-2224.290387, , ,178.2040964736782, 
1,21.01,20000,20287.046330868012,20287.046330868012,-2331.246331, , ,176.47464407103928, 
1,21.02,20046.7,20284.00229737571,20284.00229737571,-2281.502297, , ,177.88563741910139, 
1,21.03,20126.7,20280.95828907053,20280.95828907053,-2198.458289, , ,176.72945425140657, 
1,21.04,20673.3,20277.91430815934,20277.91430815934,-1648.814308, , ,177.54802167301105, 
1,21.05,20383.3,20274.870356846728,20274.870356846728,-1935.770357, , ,179.22974083561022, 
1,21.06,20603.3,20271.82643733502,20271.82643733502,-1712.726437, , ,177.56688880531752, 
1,21.07,20550,20268.78255182426,20268.78255182426,-1762.982552, , ,178.58695361083912, 
1,21.08,20720,20265.738702512237,20265.738702512237,-1589.938703, , ,178.04493814764857, 
1,21.09,20380,20262.694891594445,20262.694891594445,-1926.894892, , ,177.7357589231835, 
1,21.1,19796.7,20259.65112126413,20259.65112126413,-2507.151121, , ,179.35077362531783, 
1,21.11,20236.7,20256.607393712253,20256.607393712253,-2064.107394, , ,179.8146267687921, 
1,21.12,20096.7,20253.563711127525,20253.563711127525,-2201.063711, , ,179.05306476014312, 
1,21.13,20466.7,20250.520075696368,20250.520075696368,-1828.020076, , ,177.7638883463118, 
1,21.14,20230,20247.476489602952,20247.476489602952,-2061.67649, , ,179.09020073694708, 
1,21.15,20270,20244.432955029177,20244.432955029177,-2018.632955, , ,178.99720668211557, 
1,21.16,20046.7,20241.38947415468,20241.38947415468,-2238.889474, , ,177.89519386425258, 
1,21.17,19633.3,20238.34604915684,20238.34604915684,-2649.246049, , ,178.81079385764158, 
1,21.18,19993.3,20235.302682210753,20235.302682210753,-2286.202682, , ,179.13681921927719, 
1,21.19,20340,20232.259375489273,20232.259375489273,-1936.459375, , ,178.91338686638292, 
1,21.2,20196.7,20229.216131162986,20229.216131162986,-2076.716131, , ,178.35358140502817, 
1,21.21,20363.3,20226.172951400218,20226.172951400218,-1907.072951, , ,179.42491465791477, 
1,21.22,19796.7,20223.12983836704,20223.12983836704,-2470.629838, , ,177.67948671695333, 
1,21.23,19806.7,20220.086794227245,20220.086794227245,-2457.586794, , ,179.17393783695218, 
1,21.24,20186.7,20217.04382114239,20217.04382114239,-2074.543821, , ,178.39086299471728, 
1,21.25,20056.7,20214.00092127177,20214.00092127177,-2201.500921, , ,178.94133116750862, 
1,21.26,20136.7,20210.958096772414,20210.958096772414,-2118.458097, , ,180.6839783, 
1,21.27,20186.7,20207.915349799114,20207.915349799114,-2065.41535, , ,179.01592107966263, 
1,21.28,19926.7,20204.87268250438,20204.87268250438,-2322.372683, , ,180.77610461562668, 
1,21.29,20023.3,20201.830097038503,20201.830097038503,-2222.730097, , ,178.2414093301554, 
1,21.3,20003.3,20198.787595549493,20198.787595549493,-2239.687596, , ,180.3052966498766, 
1,21.31,20160,20195.745180183112,20195.745180183112,-2079.94518, , ,178.9226089682352, 
1,21.32,19710,20192.702853082887,20192.702853082887,-2526.902853, , ,180.45304098296597, 
1,21.33,20026.7,20189.66061639008,20189.66061639008,-2207.160616, , ,180.90522380517376, 
1,21.34,19906.7,20186.61847224371,20186.61847224371,-2324.118472, , ,180.66543665017943, 
1,21.35,19823.3,20183.57642278055,20183.57642278055,-2404.476423, , ,180.94197965093673, 
1,21.36,19643.3,20180.53447013511,20180.53447013511,-2581.43447, , ,180.59152804049253, 
1,21.37,19846.7,20177.49261643968,20177.49261643968,-2374.992616, , ,179.60150333446543, 
1,21.38,20006.7,20174.450863824273,20174.450863824273,-2211.950864, , ,181.88815244539705, 
1,21.39,20020,20171.409214416675,20171.409214416675,-2195.609214, , ,182.3916116492203, 
1,21.4,20003.3,20168.36767034244,20168.36767034244,-2209.26767, , ,181.63149506624669, 
1,21.41,20563.3,20165.326233724853,20165.326233724853,-1646.226234, , ,181.19050747762697, 
1,21.42,20080,20162.284906684963,20162.284906684963,-2126.484907, , ,181.89749860841957, 
1,21.43,19963.3,20159.24369134159,20159.24369134159,-2240.143691, , ,181.97060202131553, 
1,21.44,19870,20156.202589811295,20156.202589811295,-2330.40259, , ,180.72077910411963, 
1,21.45,20030,20153.161604208428,20153.161604208428,-2167.361604, , ,181.6039647144302, 
1,21.46,19746.7,20150.120736645065,20150.120736645065,-2447.620737, , ,182.76569700028503, 
1,21.47,19706.7,20147.079989231064,20147.079989231064,-2484.579989, , ,180.33302526159758, 
1,21.48,20110,20144.039364074037,20144.039364074037,-2078.239364, , ,182.74764020364256, 
1,21.49,20070,20140.998863279376,20140.998863279376,-2115.198863, , ,182.05301425683675, 
1,21.5,20306.7,20137.95848895021,20137.95848895021,-1875.458489, , ,183.51212494001587, 
1,21.51,19796.7,20134.918243187454,20134.918243187454,-2382.418243, , ,181.1168131345072, 
1,21.52,19836.7,20131.878128089793,20131.878128089793,-2339.378128, , ,182.2451645449064, 
