used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,21.19,20340,20233.311308859804,20232.259375489273,-1937.511309, , , ,178.91338686638292, 
1,21.2,20196.7,20230.254791275755,20229.216131162986,-2077.754791, , , ,178.35358140502817, 
1,21.21,20363.3,20227.19872232893,20226.172951400218,-1908.098722, , , ,179.42491465791477, 
1,21.22,19796.7,20224.14309069612,20223.12983836704,-2471.643091, , , ,177.67948671695333, 
1,21.23,19806.7,20221.087885681423,20220.086794227245,-2458.587886, , , ,179.17393783695218, 
1,21.24,20186.7,20218.033097268417,20217.04382114239,-2075.533097, , , ,178.39086299471728, 
1,21.25,20056.7,20214.97871568057,20214.00092127177,-2202.478716, , , ,178.94133116750862, 
1,21.26,20136.7,20211.924731936288,20210.958096772414,-2119.424732, , , ,180.6839783, 
1,21.27,20186.7,20208.87113734232,20207.915349799114,-2066.371137, , , ,179.01592107966263, 
1,21.28,19926.7,20205.817923806633,20204.87268250438,-2323.317924, , , ,180.77610461562668, 
1,21.29,20023.3,20202.765083316917,20201.830097038503,-2223.665083, , , ,178.2414093301554, 
1,21.3,20003.3,20199.71260894638,20198.787595549493,-2240.612609, , , ,180.3052966498766, 
1,21.31,20160,20196.66049340835,20195.745180183112,-2080.860493, , , ,178.9226089682352, 
1,21.32,19710,20193.60873036014,20192.702853082887,-2527.80873, , , ,180.45304098296597, 
1,21.33,20026.7,20190.557313337595,20189.66061639008,-2208.057313, , , ,180.90522380517376, 
1,21.34,19906.7,20187.50624,20186.61847224371,-2325.006237, , , ,180.66543665017943, 
1,21.35,19823.3,20184.455494619702,20183.57642278055,-2405.355495, , , ,180.94197965093673, 
1,21.36,19643.3,20181.405082056062,20180.53447013511,-2582.305082, , , ,180.59152804049253, 
1,21.37,19846.7,20178.354993874647,20177.49261643968,-2375.854994, , , ,179.60150333446543, 
1,21.38,20006.7,20175.305225537206,20174.450863824273,-2212.805226, , , ,181.88815244539705, 
1,21.39,20020,20172.25577232071,20171.409214416675,-2196.455772, , , ,182.3916116492203, 
1,21.4,20003.3,20169.20663039025,20168.36767034244,-2210.10663, , , ,181.63149506624669, 
1,21.41,20563.3,20166.15779541691,20165.326233724853,-1647.057795, , , ,181.19050747762697, 
1,21.42,20080,20163.109264060466,20162.284906684963,-2127.309264, , , ,181.89749860841957, 
1,21.43,19963.3,20160.06103250907,20159.24369134159,-2240.961033, , , ,181.97060202131553, 
1,21.44,19870,20157.01309761545,20156.202589811295,-2331.213098, , , ,180.72077910411963, 
1,21.45,20030,20153.965456230122,20153.161604208428,-2168.165456, , , ,181.6039647144302, 
1,21.46,19746.7,20150.91810548445,20150.120736645065,-2448.418105, , , ,182.76569700028503, 
